,名称,住所,電話番号,緯度,経度,種別
0,郷土博物館,東京都大田区南馬込五丁目11番13号,03-3777-1070,35.588577,139.710614,
1,勝海舟記念館,東京都大田区南千束二丁目3番1号,03-6425-7608,35.602117,139.692288,
2,大森 海苔のふるさと館,東京都大田区平和の森公園2番2号,03-5471-0333,35.577082,139.742585,
3,熊谷恒子記念館,東京都大田区南馬込4-5-15,03-3773-0123,35.585929,139.71043,
4,龍子記念館,東京都大田区中央四丁目2番1号,03-3772-0680,35.582391,139.715366,
5,尾崎士郎記念館,東京都大田区山王一丁目36番26号,03-3772-0680（龍子記念館内）,35.592438,139.721621,
6,山王草堂記念館,東京都大田区山王一丁目41番21号,03-3778-1039,35.593281,139.721057,
7,馬込文士村資料展示室,東京都大田区山王三丁目37番11号（大田区立山王会館内） ,03-3773-9216 ,35.585591,139.723456,
8,多摩川台公園古墳展示室,東京都大田区田園調布一丁目63番1号,03-3721-1951,35.590125,139.666968,
292,日曜寺,東京都板橋区大和町４２,,35.75806769,139.703944,
293,縁切榎,東京都板橋区本町１８,,35.75967371,139.7077548,
294,稲荷台遺跡,東京都板橋区稲荷台２３,,35.76189133,139.7100611,
295,板橋,東京都板橋区本町２８,,35.75730551,139.7088878,
296,中宿脇本陣跡,東京都板橋区仲宿５４,,35.75581887,139.7084236,
297,板橋宿本陣跡,東京都板橋区仲宿４７,,35.75513807,139.7093008,
298,旧板橋町役場跡地,東京都板橋区仲宿４４仲宿ふれあい公園,,35.75390292,139.7099283,
299,平尾宿名主屋敷跡,東京都板橋区板橋３－１５,,35.75099884,139.7131779,
300,東光寺,東京都板橋区板橋４－１３,,35.7500245,139.7151206,
301,加賀公園,東京都板橋区加賀１－８,,35.7529511,139.7198242,
302,圧磨機圧輪記念碑,東京都板橋区加賀１－１０加賀西公園,,35.75345154,139.7161125,
303,東上線記念碑,東京都板橋区板橋２－４,,35.74604641,139.7139635,
304,空襲犠牲者供養の地蔵,東京都板橋区大山金井町１６,,35.74468948,139.7068236,
305,西光院,東京都板橋区南町３１,,35.74092096,139.7017102,
306,新田坂,東京都板橋区成増２－３３,,35.77927893,139.6268514,
307,氷川神社,東京都板橋区赤塚４－２２,,35.78544829,139.6400443,
308,大門遺跡,東京都板橋区大門１,,35.78151448,139.6492519,
309,旧赤塚村役場跡地,東京都板橋区赤塚8-3松月院壇信徒会館,,35.78016009,139.6474293,
310,大堂,東京都板橋区赤塚６－４０,,35.77930127,139.6468566,
311,増福寺,東京都板橋区赤塚７－１４,,35.77638245,139.6489366,
312,徳丸東遺跡,東京都板橋区徳丸６－３３,,35.77868918,139.6597009,
313,成増との山遺跡,東京都板橋区成増３－３３,,35.78130512,139.6310569,
314,赤塚諏訪神社のこぶケヤキ,東京都板橋区赤塚８－５,,35.7820285,139.648169,
315,旧粕谷家（東の隠居）住宅,東京都板橋区徳丸７－１１,,35.78026829,139.6592805,
316,徳丸ヶ原,東京都板橋区高島平８－２４,,35.79180834,139.6608807,
317,早瀬の渡し,東京都板橋区新河岸３－９新河岸公園,,35.79581728,139.6496895,
318,御嶽神社,東京都板橋区桜川１－４,,35.75739658,139.6745404,
319,茂呂遺跡,東京都板橋区小茂根５－１７,,35.75432756,139.6757979,
320,旧上板橋村役場跡地,東京都板橋区東新町２－３６桜川老人いこいの家,,35.75389393,139.6804062,
321,氷川神社,東京都板橋区東新町２－１６,,35.7547146,139.6826705,
322,平安地蔵,東京都板橋区南常盤台２－１１,,35.75789682,139.6855729,
323,下頭橋と六蔵祠,東京都板橋区弥生町５２,,35.75549735,139.6914482,
324,西光寺,東京都板橋区大谷口２－８,,35.74608723,139.6884996,
325,根ノ上遺跡,東京都板橋区小茂根１－６,,35.74581975,139.6808914,
326,京徳観音堂,東京都板橋区西台３－５３,,35.77718846,139.6674191,
327,中台馬場崎貝塚,東京都板橋区若木３－４若木三丁目貝塚公園,,35.77415165,139.6768544,
328,旧志村役場跡地,東京都板橋区志村２－１９東京都聴覚障害者支援センター,,35.77522923,139.6879807,
329,富士大山道道標,東京都板橋区志村２－７,,35.77706385,139.6927173,
330,薬師の泉庭園,東京都板橋区小豆沢３－７,,35.7784899,139.6929362,
331,小豆沢神社,東京都板橋区小豆沢４－１６,,35.78020707,139.6991312,
332,龍福寺,東京都板橋区小豆沢４－１６,,35.78037686,139.6994213,
333,小豆沢貝塚,東京都板橋区小豆沢４－５,,35.77857686,139.6994101,
334,前野田向遺跡第２地点,東京都板橋区前野町３－５３,,35.7704218,139.6965675,
335,南蔵院,東京都板橋区蓮沼町４８,,35.77070251,139.7017113,
336,西台遺跡,東京都板橋区西台２－７西台福寿公園,,35.77803448,139.6678587,
337,稲荷神社,東京都板橋区宮本町５４,,35.76444633,139.7023102,
338,中台畠中遺跡,東京都板橋区中台２－４３,,35.77368356,139.6826241,
339,延命寺,東京都板橋区志村１－２１,,35.77488149,139.6924943,
340,志村一里塚,東京都板橋区志村１－１２・小豆沢２－１６,,35.77502807,139.695895,
341,熊野神社,東京都板橋区志村２－１６,,35.77605351,139.6870269,
342,智清寺,東京都板橋区大和町４２,,35.75869115,139.7050674,
343,文殊院,東京都板橋区仲宿２８,,35.75600188,139.7097929,
344,諏訪神社,東京都板橋区大門１１,,35.78464251,139.6484417,
345,乗蓮寺,東京都板橋区赤塚５－２８,,35.78187051,139.6442341,
346,安養院,東京都板橋区東新町２－３０,,35.75424658,139.6798388,
347,圓福寺,東京都板橋区西台３－３２,,35.77485148,139.6696392,
348,常楽院,東京都板橋区前野町４－２０,,35.77133894,139.6906971,
